bureau_id,v1,v2
11001101066817,20,3
1100200627011011,13,1
110030110597512,12,1
11004000070834,16,4
11005111050805,19,8
110060030601009,8,2
110070001621139,14,4
1100800304910116,22,2
110090020507413,26,11
110100030707411,21,2
11011000018201,0,2
110120040396912,16,3
11013102025354,18,1
11014003073689,16,1
11015005049396,15,3
11016001156956,17,5
11017000245495,16,5
110180240445810,8,8
11019015058684,13,5
11020005249409,21,4
11021204049274,28,5
11022904016216,31,1
11023000037516,25,4
11024004067409,17,3
110250110473312,27,3
11026109051474,27,7
110270020692913,15,2
110281050386512,17,3
11029004037487,14,6
110300020966618,11,2
11031003068408,31,2
11032108064445,31,3
11033005163446,29,6
11034003144466,17,4
11035001063564,21,3
11036105042379,17,1
11037003243617,14,3
11038000038364,20,3
11039003341287,19,3
11040014033325,25,2
11041002063384,15,2
11042023064329,20,5
11043005088335,22,6
11901113052102,19,5
11902002057447,24,2
11903100165404,26,1
11904001074417,15,1
11905002163546,12,1
11906001076395,13,2
11907100030262,15,2
119080030701154,25,4
11909002060728,23,0
11910002054884,7,1
11911000085709,11,1
11912003075385,21,0
11913000063356,18,2
11914001072697,13,5
116010000958410,40,2
1160200201499515,48,2
116031020976410,46,7
1170100007334,3,2
11301407722136,13,8
115010000000,0,0
1200110403592,13,0
120020050411211,7,1
12003001011208,8,0
1200410101772,9,0
12005002021115,5,3
1200600203552,17,1
12007101027156,8,2
12008003035176,9,1
12009021030147,8,4
12010003026110,10,2
12011004042102,12,0
12012002056106,14,1
12013002129115,7,0
1201400102793,14,0
1201501102672,5,0
12016012035123,11,4
12017005026195,5,1
12018116070137,30,4
12019000055156,50,6
12020002055208,34,7
120210030424912,19,10
12022103076387,47,5
120231040662110,48,8
12024003275187,43,3
12025134046113,36,2
12026001032619,28,1
120270010336212,9,4
12028115140743,15,4
12029004036828,31,1
12030003043584,13,2
12031005146617,24,8
120320030336013,31,0
12033012025573,13,2
12034003040755,19,4
120350072666715,18,1
12036001043737,21,2
12037203046765,29,1
120381010526222,16,6
12039005193475,24,2
12040104066803,19,4
12041001078507,18,2
120420000940,4,1
120430000110,1,0
12044012048637,22,3
12045002065385,18,5
12046002067534,15,1
12047000034265,12,1
12048102066593,22,1
12049012090448,21,5
12050101062216,29,0
12051115029331,23,1
120520130586711,18,1
120531000115675,39,1
12054004068559,26,2
12055004082787,23,1
1205600201167110,28,1
12057008069645,13,1
12901000056321,10,0
12902000070667,20,0
12903000047245,15,1
12904000057684,16,0
12905001030576,11,2
12906000022123,12,2
1290700001471,18,0
12908002072385,15,2
12909000058637,16,1
12910003046736,23,2
129111100477913,21,1
129121010295112,28,2
12913004068117,13,1
1291401203442,14,0
12915002067148,9,2
1291600302924,3,0
1291700313563,5,4
126011010531,1,0
126020120463311,19,1
12603013181988,31,3
12604002062591,20,3
12701002017414,7,0
123010010511,0,1
12501001065404,5,3
12502001075382,8,2
13001003024121,15,0
130020000632,5,3
1300300304583,19,4
13004012151178,14,2
1300530402173,17,2
13006013047180,17,2
13007003055204,20,3
13008001030213,10,2
13009003031277,14,0
13010001055387,15,3
13011104047492,23,2
13012001056421,7,0
13013028136399,24,1
13014014048682,12,2
130150050751048,31,4
13016006047202,35,2
13017011189555,16,1
13018213229207,25,5
13019013154648,13,7
13020121053598,13,1
13021002047549,18,1
130220050891148,18,3
13023013083874,7,3
130240050651008,18,3
13025000094778,6,3
1302600307110710,17,1
130270030711009,17,1
